iter	Passed	Remaining
319	9024	19177
320	9051	19146
321	9073	19105
322	9101	19075
323	9127	19043
324	9163	19032
325	9198	19018
326	9248	19033
327	9293	19040
328	9321	19011
329	9350	18985
330	9373	18945
331	9396	18905
332	9427	18883
333	9463	18869
334	9487	18834
335	9512	18798
336	9537	18764
337	9558	18721
338	9581	18682
339	9608	18651
340	9647	18643
341	9671	18608
342	9693	18567
343	9714	18524
344	9735	18483
345	9759	18446
346	9781	18406
347	9803	18366
348	9823	18324
349	9845	18285
350	9867	18245
351	9891	18210
352	9926	18194
353	9956	18169
354	9984	18140
355	10012	18111
356	10038	18081
357	10060	18040
358	10122	18074
359	10201	18136
360	10246	18136
361	10297	18147
362	10346	18155
363	10372	18122
364	10396	18086
365	10427	18063
366	10458	18038
367	10479	17998
368	10502	17960
369	10523	17917
370	10545	17879
371	10569	17842
372	10600	17818
373	10639	17809
374	10682	17803
375	10707	17769
376	10729	17730
377	10750	17689
378	10772	17650
379	10795	17614
380	10821	17580
381	10861	17572
382	10891	17545
383	10914	17509
384	10938	17473
385	10960	17435
386	10986	17402
387	11013	17371
388	11038	17338
389	11059	17297
390	11079	17256
391	11099	17215
392	11118	17173
393	11136	17128
394	11157	17089
395	11179	17051
396	11199	17010
397	11216	16965
398	11234	16921
399	11252	16879
400	11271	16836
401	11290	16794
