iter	Passed	Remaining
588	1985	1385
589	1986	1380
590	1988	1376
591	1990	1371
592	1992	1367
593	1993	1362
594	1995	1358
595	1997	1354
596	1999	1349
597	2001	1345
598	2003	1341
599	2005	1337
600	2007	1332
601	2009	1328
602	2011	1324
603	2013	1320
604	2015	1315
605	2017	1311
606	2019	1307
607	2021	1303
608	2023	1299
609	2025	1295
610	2027	1290
611	2029	1286
612	2031	1282
613	2033	1278
614	2035	1274
615	2036	1269
616	2038	1265
617	2041	1261
618	2042	1257
619	2044	1253
620	2046	1249
621	2048	1245
622	2050	1240
623	2056	1238
624	2058	1235
625	2061	1231
626	2063	1227
627	2065	1223
628	2067	1219
629	2071	1216
630	2075	1213
631	2076	1209
632	2078	1205
633	2080	1201
634	2083	1197
635	2088	1195
636	2092	1192
637	2095	1189
638	2097	1185
639	2099	1181
640	2105	1179
641	2108	1175
642	2110	1171
643	2112	1167
644	2119	1166
645	2123	1163
646	2126	1160
647	2131	1157
648	2136	1155
649	2138	1151
650	2140	1147
651	2143	1143
652	2147	1141
653	2153	1139
654	2156	1135
655	2158	1131
656	2164	1130
657	2167	1126
658	2170	1123
659	2172	1119
660	2182	1119
661	2185	1115
662	2187	1111
663	2193	1110
664	2197	1107
665	2199	1102
666	2201	1099
667	2205	1095
668	2212	1094
669	2215	1091
670	2218	1087
671	2222	1084
672	2226	1081
673	2229	1078
674	2238	1077
675	2240	1073
676	2243	1070
677	2250	1068
678	2255	1066
679	2258	1062
680	2264	1060
681	2267	1057
682	2269	1053
683	2272	1049
684	2275	1046
685	2277	1042
686	2280	1038
687	2282	1035
688	2283	1030
689	2285	1026
690	2288	1023
691	2290	1019
692	2292	1015
693	2294	1011
694	2297	1008
695	2299	1004
696	2302	1000
697	2304	996
698	2306	993
699	2308	989
700	2310	985
701	2311	981
702	2313	977
703	2315	973
704	2317	969
705	2319	965
706	2321	962
707	2323	958
708	2324	954
709	2326	950
710	2327	946
711	2329	942
712	2331	938
713	2333	934
714	2335	930
715	2337	926
716	2338	923
717	2340	919
718	2342	915
719	2343	911
720	2345	907
721	2347	903
722	2349	899
723	2351	896
724	2353	892
725	2355	888
726	2357	885
727	2359	881
728	2360	877
729	2362	873
730	2364	870
731	2366	866
732	2368	862
733	2369	858
734	2372	855
735	2374	851
736	2376	848
737	2378	844
738	2380	840
739	2382	836
740	2384	833
741	2386	829
742	2388	826
743	2390	822
744	2392	818
745	2394	815
746	2396	811
747	2399	808
748	2402	805
749	2404	801
750	2406	797
751	2408	794
752	2410	790
753	2417	788
754	2420	785
755	2423	782
756	2426	779
757	2434	777
758	2437	773
759	2440	770
760	2446	768
761	2449	765
762	2453	762
763	2458	759
764	2461	756
765	2469	754
766	2473	751
767	2475	747
768	2483	745
769	2485	742
770	2492	740
771	2498	738
772	2501	734
773	2511	733
774	2515	730
775	2517	726
776	2527	725
777	2530	722
778	2534	718
779	2542	717
780	2545	713
781	2548	710
782	2557	708
783	2560	705
784	2563	702
785	2575	701
786	2578	697
787	2589	696
788	2593	693
789	2604	692
790	2607	689
791	2610	685
792	2619	683
793	2623	680
794	2629	678
795	2636	675
796	2640	672
797	2649	670
798	2652	667
799	2656	664
800	2666	662
801	2669	659
802	2673	655
803	2679	653
804	2683	650
805	2694	648
806	2699	645
807	2708	643
808	2714	640
809	2724	639
810	2728	635
811	2730	632
812	2740	630
813	2744	627
814	2749	624
815	2759	622
816	2771	620
817	2775	617
818	2784	615
819	2788	612
820	2791	608
821	2801	606
822	2805	603
823	2807	599
824	2813	596
825	2818	593
826	2821	590
827	2826	587
828	2833	584
829	2837	581
830	2844	578
831	2851	575
832	2855	572
833	2861	569
834	2864	566
835	2869	563
836	2876	560
837	2879	556
838	2886	553
839	2895	551
840	2907	549
841	2910	546
842	2921	544
843	2927	541
844	2939	539
845	2942	535
846	2955	533
847	2958	530
848	2966	527
849	2971	524
850	2975	520
851	2987	518
852	2990	515
853	3001	513
854	3005	509
855	3017	507
856	3032	505
857	3035	502
858	3046	500
859	3051	496
860	3057	493
861	3067	491
862	3082	489
863	3097	487
864	3110	485
865	3145	486
866	3149	483
867	3160	480
868	3165	477
869	3172	474
870	3176	470
871	3179	466
872	3181	462
873	3184	459
874	3186	455
875	3188	451
876	3191	447
877	3193	443
878	3196	440
879	3199	436
880	3201	432
881	3203	428
882	3205	424
883	3208	420
884	3210	417
885	3212	413
886	3214	409
887	3217	405
888	3219	401
889	3221	398
890	3223	394
891	3226	390
892	3230	387
893	3233	383
894	3235	379
895	3238	375
896	3241	372
897	3245	368
898	3247	364
899	3250	361
900	3252	357
901	3257	353
902	3259	350
903	3261	346
904	3264	342
905	3266	338
906	3268	335
907	3271	331
908	3274	327
909	3276	324
910	3278	320
911	3281	316
912	3283	312
913	3285	309
914	3287	305
915	3289	301
916	3292	297
917	3294	294
918	3296	290
919	3298	286
920	3300	283
921	3303	279
922	3305	275
923	3307	272
924	3309	268
925	3311	264
926	3313	260
927	3315	257
928	3317	253
929	3319	249
930	3321	246
931	3323	242
932	3325	238
933	3327	235
934	3329	231
935	3332	227
936	3334	224
937	3338	220
938	3340	217
939	3342	213
940	3344	209
941	3347	206
942	3351	202
943	3353	198
944	3355	195
945	3357	191
946	3359	188
947	3361	184
948	3364	180
949	3366	177
950	3368	173
951	3370	169
952	3372	166
953	3374	162
954	3376	159
955	3378	155
956	3380	151
957	3382	148
958	3385	144
959	3388	141
960	3390	137
961	3392	134
962	3394	130
963	3396	126
964	3397	123
965	3399	119
966	3401	116
967	3403	112
968	3405	108
969	3407	105
970	3409	101
971	3411	98
972	3413	94
973	3415	91
974	3417	87
975	3419	84
976	3421	80
977	3423	77
978	3425	73
979	3427	69
980	3429	66
981	3431	62
982	3433	59
983	3435	55
984	3437	52
985	3439	48
986	3441	45
987	3442	41
988	3444	38
989	3446	34
990	3448	31
991	3450	27
992	3452	24
993	3455	20
994	3457	17
995	3459	13
996	3461	10
997	3462	6
998	3464	3
999	3466	0
